"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Cochrane [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",81460,36660,38115,1130 
"  0 to 4 years",4235,2195,1565,160 
"  5 to 9 years",4965,2775,1905,50 
"  10 to 14 years",5810,3130,2405,75 
"  15 to 19 years",6065,3015,2690,110 
"  20 to 24 years",4835,2445,2030,70 
"  25 to 29 years",4365,2160,1840,80 
"  30 to 34 years",4710,2210,2170,50 
"  35 to 39 years",5380,2420,2700,40 
"  40 to 44 years",6930,3165,3370,50 
"  45 to 49 years",7400,3135,3705,110 
"  50 to 54 years",6510,2755,3255,85 
"  55 to 59 years",5590,2300,2830,60 
"  60 to 64 years",4175,1665,2215,40 
"  65 to 69 years",3440,1000,1935,65 
"  70 to 74 years",2700,880,1430,25 
"  75 to 79 years",2300,725,1145,30 
"  80 to 84 years",1275,355,615,25 
"  85 years and over",765,315,315,10 
"Median age [4]",40.3,35.9,42.6,31.5 
"Total population 15 years and over by legal marital status [5]",66455,28565,32235,840 
"  Never legally married (single)",21380,10225,9520,320 
"  Legally married (and not separated) [6]",33105,13585,16700,345 
"  Separated, but still legally married",2960,1250,1510,25 
"  Divorced",4415,1995,2125,75 
"  Widowed",4585,1510,2385,80 
"Total population 15 years and over by common-law status [7]",66455,28560,32235,845 
"  Not in a common-law relationship",58065,24780,28165,740 
"  In a common-law relationship",8395,3780,4070,105 
"Total population by knowledge of official languages [8]",81465,36660,38115,1130 
"  English only",32310,27185,250,55 
"  French only",5695,0,5655,15 
"  English and French",43225,9470,32215,1055 
"  Neither English nor French",230,0,0,0 
"Total population by first official language spoken [9]",81465,36660,38115,1130 
"  English",42630,36660,250,545 
"  French",38210,0,37865,265 
"  English and French",400,0,0,320 
"  Neither English nor French",230,0,0,0 
"Official language minority - (number) [10]",38410,0,37870,425 
"Official language minority - (percentage) [11]",47.1,0.0,99.4,37.6 
"Total population by language spoken most often at home [12]",81465,36660,38115,1125 
"  Single responses",79685,36355,37250,810 
"    English",47630,35700,8635,545 
"    French",29520,575,28600,265 
"    Non-official languages",2540,75,15,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",1670,65,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",25,10,0,0 
"      Oji-Cree",45,10,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",275,0,0,0 
"      Portuguese",45,0,0,0 
"      Romanian",0,0,0,0 
"      Spanish",15,0,0,0 
"      Danish",0,0,0,0 
"      Dutch",0,0,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",70,0,10,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",0,0,0,0 
"      Croatian",55,0,0,0 
"      Czech",0,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",35,0,0,0 
"      Russian",10,0,0,0 
"      Serbian",0,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",0,0,0,0 
"      Slovenian",10,0,0,0 
"      Ukrainian",10,0,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",0,0,0,0 
"      Estonian",0,0,0,0 
"      Finnish",90,0,0,0 
"      Hungarian",0,0,0,0 
"      Greek",0,0,0,0 
"      Armenian",0,0,0,0 
"      Turkish",0,0,0,0 
"      Amharic",0,0,0,0 
"      Arabic",0,0,0,0 
"      Hebrew",0,0,0,0 
"      Maltese",0,0,0,0 
"      Somali",0,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",0,0,0,0 
"      Gujarati",0,0,0,0 
"      Hindi",0,0,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",0,0,0,0 
"      Pashto",0,0,0,0 
"      Persian (Farsi)",0,0,0,0 
"      Sindhi",0,0,0,0 
"      Sinhala (Sinhalese)",0,0,0,0 
"      Urdu",0,0,0,0 
"      Malayalam",0,0,0,0 
"      Tamil",0,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",0,0,0,0 
"      Korean",0,0,0,0 
"      Cantonese",30,0,0,0 
"      Chinese, n.o.s. [13]",25,0,0,0 
"      Mandarin",20,0,0,0 
"      Taiwanese",0,0,0,0 
"      Lao",0,0,0,0 
"      Khmer (Cambodian)",0,0,0,0 
"      Vietnamese",0,0,0,0 
"      Bisayan languages",0,0,0,0 
"      Ilocano",0,0,0,0 
"      Malay",0,0,0,0 
"      Tagalog (Pilipino, Filipino)",10,0,0,0 
"      Akan (Twi)",0,0,0,0 
"      Swahili",0,0,0,0 
"      Creoles",0,0,0,0 
"      Other languages [14]",100,0,0,0 
"  Multiple responses",1780,305,865,320 
"    English and French",1345,150,855,320 
"    English and non-official language",430,155,10,0 
"    French and non-official language",0,0,10,0 
"    English, French and non-official language",0,0,0,0 
"Total population by language spoken on a regular basis at home [15]",81465,36660,38115,1130 
"  None",59775,32720,22645,705 
"  Single responses",21605,3910,15450,425 
"    English",11635,410,10175,165 
"    French",8815,3225,5240,260 
"    Non-official languages",1150,280,30,0 
"      Algonquin",10,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",500,165,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
